usrid,separation,probability,ra,dec,name,bb_kt,powlaw_gamma,var_prob_b,var_mean_b,var_sigma_b,var_max_b,var_min_b,hard_hm,hard_hs,hard_ms,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s
  X Per,0.04,0.94, 03 55 23.13,+31 02 44.17,2CXO J035523.1+310244X,,,,,,,,,,,1.501e-11,1.49e-11,1.512e-11,1.362e-12,1.346e-12,1.377e-12,4.912e-13,4.811e-13,5.012e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,1.084,1.291,0.022,0.356,7.319e-05,0.3561,0.356,0.4834,0.8157,0.5484,4.373e-12,4.327e-12,4.419e-12,4.571e-13,4.505e-13,4.637e-13,8.021e-14,7.782e-14,8.26e-14,3.248e-13,3.113e-13,3.383e-13,6.245e-15,5.433e-15,7.058e-15,4.936e-16,2.79e-16,6.975e-16,0.0,0.017,0.057,0.182,1.203e-05,0.1129,0.1129,0.1129,0.0,0.026,0.847,0.877,6.551e-05,0.216,0.2159,0.2161,0.0,0.02,0.515,0.557,5.28e-06,0.02711,0.0271,0.02712
 SS 433,0.05,0.65, 19 11 49.57,+04 58 57.80, 2CXO J191149.5+045857,1.536,0.694,0.039,1.452,0.0006145,1.453,1.452,0.5821,0.837,0.4959,2.626e-11,2.605e-11,2.648e-11,1.854e-12,1.83e-12,1.879e-12,3.632e-13,3.53e-13,3.734e-13,2.137e-11,2.116e-11,2.158e-11,8.09e-13,7.92e-13,8.26e-13,1.436e-13,1.369e-13,1.503e-13,0.0,0.049,0.761,0.789,0.0003426,0.3751,0.3748,0.3755,0.0,0.013,0.581,0.249,7.615e-05,0.9935,0.9934,0.9935,0.0,0.072,0.626,0.17,0.0002005,0.08381,0.08361,0.08401
1A 0535+262,0.03,0.78, 05 38 54.58,+26 18 56.70, 2CXO J053854.5+261856,1.597,0.561,0.078,0.1629,0.0002434,0.1632,0.1627,0.5834,0.7733,0.346,2.9e-12,2.861e-12,2.939e-12,2.315e-13,2.26e-13,2.366e-13,6.523e-14,6.239e-14,6.806e-14,2.767e-12,2.728e-12,2.807e-12,1.987e-13,1.937e-13,2.038e-13,5.378e-14,5.108e-14,5.649e-14,6.0,0.974,1.0,1.0,0.002937,0.03971,0.03678,0.04265,0.0,0.021,0.4,0.251,2.302e-05,0.1128,0.1128,0.1129,2.0,0.842,0.996,0.977,0.001036,0.01038,0.009349,0.01142
1A 1118-615,0.02,0.86, 11 20 57.11,-61 55 00.15, 2CXO J112057.1-615500,1.069,1.502,1.0,0.206,0.03006,0.2528,0.1691,0.5059,0.8495,0.6009,2.605e-12,2.544e-12,2.667e-12,3.074e-13,2.972e-13,3.176e-13,4.564e-14,4.218e-14,4.91e-14,2.647e-12,2.583e-12,2.711e-12,3.147e-13,3.04e-13,3.254e-13,4.747e-14,4.379e-14,5.115e-14,0.0,0.275,0.964,0.986,0.002157,0.0637,0.06097,0.06688,0.0,0.039,0.904,0.989,0.0001001,0.1287,0.1286,0.1288,0.0,0.128,0.188,0.512,0.000115,0.01266,0.01254,0.01277
1FGL J1018.6-5856,0.01,0.95, 10 18 55.58,-58 56 45.94, 2CXO J101855.6-585645,1.073,1.527,0.074,0.06704,0.00019,0.06723,0.06685,0.4085,0.6858,0.3823,8.85e-13,8.337e-13,9.363e-13,1.32e-13,1.217e-13,1.416e-13,3.118e-14,2.584e-14,3.622e-14,9.07e-13,8.538e-13,9.569e-13,1.325e-13,1.219e-13,1.423e-13,3.098e-14,2.544e-14,3.619e-14,0.0,0.099,0.208,0.482,0.0001077,0.02198,0.02188,0.02209,0.0,0.06,0.599,0.44,2.361e-05,0.04019,0.04016,0.04021,6.0,0.947,0.949,0.83,0.002926,0.004877,0.00247,0.01489
1FGL J1018.6-5856,0.01,0.95, 10 18 55.58,-58 56 45.94, 2CXO J101855.6-585645,1.083,1.518,0.0,0.06777,1.984e-08,0.06777,0.06777,0.4172,0.7033,0.4047,9.483e-13,9.237e-13,9.729e-13,1.344e-13,1.293e-13,1.392e-13,3.304e-14,3.021e-14,3.586e-14,9.345e-13,9.09e-13,9.586e-13,1.327e-13,1.275e-13,1.377e-13,3.262e-14,2.967e-14,3.556e-14,0.0,0.0,0.82,0.455,3.648e-08,0.02158,0.02158,0.02158,0.0,0.035,0.573,0.943,6.884e-05,0.04226,0.04216,0.04232,0.0,0.193,0.966,0.86,9.554e-05,0.003944,0.003828,0.004046
1FGL J1018.6-5856,0.01,0.95, 10 18 55.58,-58 56 45.94, 2CXO J101855.6-585645,1.037,1.648,0.048,0.05001,5.822e-05,0.05007,0.04996,0.3923,0.6458,0.3385,6.635e-13,6.389e-13,6.881e-13,1.04e-13,9.845e-14,1.093e-13,2.716e-14,2.41e-14,3.022e-14,6.568e-13,6.304e-13,6.817e-13,1.019e-13,9.645e-14,1.073e-13,2.693e-14,2.373e-14,3.012e-14,0.0,0.061,0.313,0.748,2.168e-05,0.01641,0.01639,0.01643,0.0,0.066,0.234,0.079,6.824e-05,0.03014,0.03008,0.03021,0.0,0.084,0.171,0.013,1.506e-05,0.003462,0.003442,0.003481
2E 1145.5-6155,0.02,0.86, 11 48 00.01,-62 12 24.81, 2CXO J114800.0-621224,1.114,0.832,1.0,0.6556,0.03626,0.6838,0.6041,0.4647,0.5671,0.1387,7.323e-12,7.225e-12,7.415e-12,8.566e-13,8.421e-13,8.71e-13,4.12e-13,4.032e-13,4.209e-13,7.276e-12,7.174e-12,7.371e-12,8.174e-13,8.028e-13,8.32e-13,3.958e-13,3.867e-13,4.049e-13,8.0,1.0,1.0,1.0,0.01628,0.1914,0.1751,0.2076,8.0,1.0,1.0,1.0,0.09818,0.346,0.09994,0.5597,0.0,0.024,0.664,0.696,1.596e-05,0.1181,0.118,0.1181
2MASS J22535512+6243368,0.01,0.94, 22 53 55.07,+62 43 37.07, 2CXO J225355.0+624337,1.255,1.226,0.999,0.08457,0.008229,0.0928,0.07634,0.6633,0.9507,0.7783,1.527e-12,1.473e-12,1.581e-12,1.012e-13,9.557e-14,1.069e-13,6.935e-15,4.925e-15,8.945e-15,1.503e-12,1.452e-12,1.553e-12,1.062e-13,1.004e-13,1.12e-13,6.804e-15,5.227e-15,8.298e-15,0.0,0.067,0.171,0.326,4.358e-05,0.01973,0.01969,0.01978,7.0,1.0,1.0,1.0,0.007037,0.0614,0.05437,0.06844,0.0,0.293,0.769,0.707,0.0001554,0.003433,0.003278,0.003589
2MASS J22535512+6243368,0.01,0.94, 22 53 55.07,+62 43 37.07, 2CXO J225355.0+624337,1.324,1.301,0.75,0.06617,0.007528,0.07742,0.05633,0.7096,0.9207,0.6071,1.194e-12,1.154e-12,1.235e-12,7.116e-14,6.592e-14,7.639e-14,1.054e-14,7.943e-15,1.313e-14,1.149e-12,1.106e-12,1.189e-12,6.544e-14,6.001e-14,7.054e-14,7.82e-15,5.641e-15,9.999e-15,0.0,0.079,0.282,0.542,2.27e-05,0.01159,0.01157,0.01161,5.0,0.869,1.0,0.999,0.006976,0.05315,0.04566,0.06503,0.0,0.433,0.363,0.476,0.0001402,0.001283,0.001168,0.002298
2MASS J22535512+6243368,0.01,0.94, 22 53 55.07,+62 43 37.07, 2CXO J225355.0+624337,1.318,1.373,1.0,0.07513,0.0273,0.1494,0.02353,0.6783,0.9232,0.6533,1.415e-12,1.37e-12,1.457e-12,9.456e-14,8.869e-14,1.001e-13,1.054e-14,8.356e-15,1.272e-14,1.327e-12,1.286e-12,1.369e-12,9.101e-14,8.508e-14,9.658e-14,1.098e-14,8.708e-15,1.325e-14,6.0,0.906,0.975,1.0,0.006939,0.01456,0.006466,0.05221,9.0,1.0,1.0,1.0,0.02097,0.05921,0.02294,0.1095,0.0,0.243,0.808,0.755,8.749e-05,0.001386,0.001329,0.001744
