usrid,separation,probability,ra,dec,name,bb_kt,powlaw_gamma,var_prob_b,var_mean_b,var_sigma_b,var_max_b,var_min_b,hard_hm,hard_hs,hard_ms,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s
1A 0620-00,0.06,0.6, 06 22 44.55,-00 20 44.46, 2CXO J062244.5-002044,,,0.104,0.003087,0.0001275,0.004494,0.003007,0.0987,-0.1736,-0.2661,9.556e-15,7.402e-15,1.157e-14,4.014e-15,3.304e-15,4.682e-15,4.281e-15,3.696e-15,4.865e-15,9.487e-15,7.349e-15,1.149e-14,4.078e-15,3.397e-15,4.758e-15,3.903e-15,3.324e-15,4.445e-15,0.0,0.383,0.504,0.36,0.0001157,0.0009226,0.000889,0.003104,4.0,0.606,0.306,0.082,0.0001483,0.0006898,0.0006431,0.002975,1.0,0.523,0.988,0.985,0.0001977,0.001467,0.001259,0.001694
1A 0620-00,0.06,0.6, 06 22 44.55,-00 20 44.46, 2CXO J062244.5-002044,0.475,2.422,0.074,0.008232,3.785e-05,0.008272,0.008186,-0.1087,-0.2811,-0.1774,2.426e-14,2.056e-14,2.795e-14,1.274e-14,1.147e-14,1.401e-14,1.244e-14,1.121e-14,1.359e-14,2.397e-14,2.018e-14,2.775e-14,1.267e-14,1.137e-14,1.396e-14,1.198e-14,1.076e-14,1.32e-14,0.0,0.186,0.903,0.635,0.0001008,0.003112,0.002972,0.003222,0.0,0.103,0.208,0.471,8.702e-06,0.001663,0.00165,0.001674,0.0,0.066,0.044,0.011,7.823e-06,0.00346,0.003451,0.003468
1A 0620-00,0.06,0.6, 06 22 44.55,-00 20 44.46, 2CXO J062244.5-002044,0.5896,2.257,0.1,0.013,6.945e-05,0.01307,0.01293,0.03,-0.1137,-0.1437,6.368e-14,5.704e-14,6.99e-14,2.363e-14,2.148e-14,2.564e-14,2.164e-14,1.948e-14,2.366e-14,6.307e-14,5.658e-14,6.956e-14,2.248e-14,2.035e-14,2.447e-14,2.14e-14,1.921e-14,2.359e-14,2.0,0.848,0.868,0.621,0.001703,0.005088,0.004003,0.01672,0.0,0.232,0.494,0.086,0.0003039,0.003825,0.003644,0.005689,0.0,0.071,0.621,0.433,5.718e-06,0.00409,0.004086,0.004104
1A 0620-00,0.06,0.6, 06 22 44.55,-00 20 44.46, 2CXO J062244.5-002044,,,0.452,0.00339,0.0005908,0.005719,0.002925,-0.1062,-0.3923,-0.2948,2.495e-14,1.967e-14,2.994e-14,1.113e-14,8.954e-15,1.317e-14,4.841e-14,3.279e-14,6.324e-14,2.597e-14,2.04e-14,3.122e-14,1.132e-14,9.109e-15,1.34e-14,5.323e-14,3.455e-14,7.191e-14,0.0,0.407,0.908,0.759,0.0002541,0.001582,0.001254,0.001967,2.0,0.737,0.534,0.348,0.0002415,0.001196,0.001084,0.00256,0.0,0.46,0.103,0.295,5.169e-05,0.0005982,0.0005746,0.0009298
1ES 1735-26.9,0.06,0.95, 17 38 17.06,-26 59 40.62,2CXO J173817.0-265940X,,,,,,,,,,,3.725e-12,3.457e-12,3.977e-12,3.683e-13,3.254e-13,4.085e-13,3.517e-14,2.482e-14,4.551e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RXS J161933.6-280736,0.03,0.82, 16 19 33.34,-28 07 39.99, 2CXO J161933.3-280740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RXS J174725.6-300241,0.02,0.88, 17 47 26.05,-30 02 42.02, 2CXO J174726.0-300241,1.394,1.502,0.0,2.485,0.0,2.485,2.485,0.8957,0.9931,0.8732,6.429e-11,6.324e-11,6.535e-11,1.123e-12,1.059e-12,1.187e-12,5.44e-14,3.948e-14,6.843e-14,6.115e-11,6.009e-11,6.222e-11,1.118e-12,1.051e-12,1.185e-12,4.626e-14,3.316e-14,5.937e-14,0.0,0.043,0.8,0.427,0.0002771,0.1963,0.196,0.1966,0.0,0.0,0.865,0.776,8.882e-16,2.279,2.279,2.279,2.0,0.824,0.911,0.676,0.003838,0.009742,0.005904,0.01358
1RXS J174725.6-300241,0.02,0.88, 17 47 26.05,-30 02 42.02, 2CXO J174726.0-300241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RXS J174725.6-300241,0.02,0.88, 17 47 26.05,-30 02 42.02, 2CXO J174726.0-300241,2.426,0.412,1.0,0.8681,0.1574,1.205,0.3023,0.9344,0.9869,0.6883,2.459e-11,2.441e-11,2.477e-11,2.579e-13,2.487e-13,2.67e-13,5.561e-14,4.841e-14,6.239e-14,2.457e-11,2.438e-11,2.475e-11,2.472e-13,2.379e-13,2.565e-13,5.439e-14,4.671e-14,6.206e-14,0.0,0.346,0.995,0.95,0.0008672,0.03555,0.03469,0.03642,10.0,1.0,0.991,1.0,0.1504,0.829,0.3022,1.144,0.0,0.193,0.52,0.589,6.824e-05,0.0027,0.002616,0.002795
1RXS J174725.6-300241,0.02,0.88, 17 47 26.05,-30 02 42.02, 2CXO J174726.0-300241,1.934,0.795,0.008,0.8967,5.398e-06,0.8967,0.8967,0.9119,0.9844,0.7058,2.388e-11,2.37e-11,2.406e-11,3.449e-13,3.339e-13,3.559e-13,7.71e-14,6.733e-14,8.63e-14,2.419e-11,2.401e-11,2.438e-11,3.462e-13,3.348e-13,3.577e-13,8.017e-14,6.977e-14,9.057e-14,0.0,0.035,0.312,0.277,1.386e-05,0.04708,0.04706,0.04709,0.0,0.008,0.606,0.595,3.06e-06,0.8465,0.8465,0.8465,2.0,0.892,0.932,0.832,0.001018,0.003061,0.002298,0.009446
